1,0,1588,1331087702,0,Sand King,5,4,7,str,Melee,0,1,0,1,1,1,0,0,6
1,1,2754,1331096627,0,Razor,20,8,22,agi,Ranged,1,0,1,1,0,0,1,0,0
0,1,3321,1331153730,0,Razor,6,6,25,agi,Ranged,1,0,1,1,0,0,1,0,0
1,1,3569,1331159297,0,Storm Spirit,12,7,13,int,Ranged,1,0,0,1,1,1,0,0,2
0,0,3993,1331170894,0,Night Stalker,15,11,16,str,Melee,1,0,0,1,1,1,1,0,2
0,1,2808,1331180418,0,Storm Spirit,15,3,1,int,Ranged,1,0,0,1,1,1,0,0,2
0,0,2605,1331247757,0,Nature's Prophet,0,7,10,int,Ranged,1,1,1,1,0,0,0,0,2
1,0,3184,1331250809,0,Pudge,16,8,11,str,Melee,0,0,0,1,1,1,1,0,2
1,1,4300,1331259510,0,Shadow Fiend,13,6,28,agi,Ranged,1,0,0,1,0,0,0,0,0
1,1,2372,1331353879,0,Bounty Hunter,26,6,11,agi,Melee,0,0,0,1,0,0,0,0,2
1,1,2820,1331356620,0,Storm Spirit,13,4,16,int,Ranged,1,0,0,1,1,1,0,0,2
1,1,2608,1331359860,0,Nature's Prophet,5,2,7,int,Ranged,1,1,1,1,0,0,0,0,2
0,0,1257,1331362798,0,Pudge,6,6,1,str,Melee,0,0,0,1,1,1,1,0,2
1,0,3108,1331364271,0,Weaver,18,9,13,agi,Ranged,1,0,0,0,0,0,0,0,4
1,1,2450,1331368574,0,Juggernaut,2,12,13,agi,Melee,1,0,1,0,0,0,0,0,2
0,1,3176,1331371357,0,Storm Spirit,8,9,13,int,Ranged,1,0,0,1,1,1,0,0,2
0,1,2126,1331409493,0,Huskar,3,10,7,str,Ranged,1,0,0,0,0,1,1,0,2
0,1,2871,1331411715,0,Outworld Devourer,7,9,11,int,Ranged,1,0,0,1,1,0,0,0,4
1,1,2193,1331434302,0,Wraith King,6,3,18,str,Melee,1,0,0,0,1,1,1,1,2
1,1,2187,1331437042,0,Morphling,3,2,4,agi,Ranged,1,0,0,1,1,0,1,0,0
1,1,2319,1331439597,0,Bounty Hunter,10,1,8,agi,Melee,0,0,0,1,0,0,0,0,2
0,0,2022,1331443900,0,Spirit Breaker,1,5,6,str,Melee,1,0,0,0,1,1,1,0,2
0,1,2795,1331446199,0,Night Stalker,9,7,8,str,Melee,1,0,0,1,1,1,1,0,2
0,1,2386,1331449627,0,Queen of Pain,3,7,8,int,Ranged,1,0,0,1,0,0,0,0,2
0,1,1755,1331452290,0,Huskar,8,13,3,str,Ranged,1,0,0,0,0,1,1,0,2
0,0,1582,1331454480,0,Clockwerk,3,7,4,str,Melee,0,0,0,1,1,1,1,0,2
1,0,3778,1331503959,0,Necrophos,11,11,18,int,Ranged,1,0,0,1,1,0,1,0,2
1,1,2152,1331519618,0,Necrophos,5,2,26,int,Ranged,1,0,0,1,1,0,1,0,2
0,0,3181,1331522301,0,Queen of Pain,9,10,8,int,Ranged,1,0,0,1,0,0,0,0,2
1,1,3026,1331526274,0,Anti-Mage,22,5,8,agi,Melee,1,0,0,1,0,0,0,0,2
0,1,3101,1331529861,0,Outworld Devourer,14,7,13,int,Ranged,1,0,0,1,1,0,0,0,4
1,1,2972,1331533687,0,Bounty Hunter,19,4,16,agi,Melee,0,0,0,1,0,0,0,0,2
0,1,3225,1331536981,0,Pudge,8,15,7,str,Melee,0,0,0,1,1,1,1,0,2
1,0,3475,1331578967,0,Nature's Prophet,7,6,18,int,Ranged,1,1,1,1,0,0,0,0,2
